,Date,artistName,trackName,msPlayed
0,2019-09-21,Fearless Motivation,Your Results Are a Mirror (Motivational Speech),90007
1,2019-09-24,FINNEAS,I Don't Miss You at All,18791
2,2019-09-25,The Local Train,Aaftaab,233471
3,2019-09-25,Armaan Malik,Sau Aasmaan,234737
4,2019-09-25,Vishal Mishra,Kaise Hua,167575
5,2019-09-25,Vishal Mishra,Kaise Hua,4248
6,2019-09-25,Imagine Dragons,Thunder,187146
7,2019-09-25,Gaten Matarazzo,Never Ending Story,105541
24,2019-09-26,The Local Train,Mere Yaar,239018
23,2019-09-26,The Local Train,Aaftaab,233471
22,2019-09-26,The Local Train,Mere Yaar,6556
21,2019-09-26,The Local Train,Khudi,297642
20,2019-09-26,The Local Train,Dilnawaz,207530
19,2019-09-26,The Local Train,Gustaakh,184320
18,2019-09-26,The Local Train,Yeh Zindagi Hai - Demo,260381
17,2019-09-26,The Local Train,Kaisey Jiyun - Acoustic,219583
16,2019-09-26,The Local Train,Dil Mere,31402
15,2019-09-26,The Local Train,Dil Mere,179889
14,2019-09-26,The Local Train,Yeh Zindagi Hai,249160
13,2019-09-26,The Local Train,Kaisey Jiyun,239085
12,2019-09-26,The Local Train,Manzil,1690
11,2019-09-26,XXXTENTACION,changes,53341
10,2019-09-26,XXXTENTACION,changes,105662
9,2019-09-26,Leave the Crowd Speechless,Changes XXX Tentacion Tribute,10128
8,2019-09-26,XXXTENTACION,changes,5535
37,2019-09-27,The Local Train,Aaoge Tum Kabhi,238939
38,2019-09-27,The Local Train,Bandey,179059
39,2019-09-27,The Local Train,Kaisey Jiyun,41914
43,2019-09-27,The Local Train,Gustaakh,4872
41,2019-09-27,The Local Train,Dil Mere,101682
42,2019-09-27,The Local Train,Yeh Zindagi Hai - Demo,27028
36,2019-09-27,The Local Train,Manzil,260628
40,2019-09-27,The Local Train,Yeh Zindagi Hai,249160
35,2019-09-27,Taylor Swift,You Need To Calm Down,31856
27,2019-09-27,The Local Train,Aakhri Salaam,277432
33,2019-09-27,Taylor Swift,You Need To Calm Down,82083
32,2019-09-27,Taylor Swift,You Need To Calm Down,3723
31,2019-09-27,Taylor Swift,You Need To Calm Down,171360
30,2019-09-27,The Local Train,Khudi,125264
29,2019-09-27,The Local Train,Khudi,63569
28,2019-09-27,The Local Train,Vaaqif,380927
26,2019-09-27,The Local Train,Mizaaj,263509
25,2019-09-27,The Local Train,Mere Yaar,41425
34,2019-09-27,Taylor Swift,You Need To Calm Down,171360
46,2019-09-28,Arijit Singh,Tujhe Kitna Chahne Lage,284779
44,2019-09-28,Rachel Platten,Fight Song,204013
45,2019-09-28,Andy Grammer,"Don't Give Up On Me - (From ""Five Feet Apart"")",196187
57,2019-10-01,Parthiv Gohil,Nadi Kinare Nariyeli,92630
63,2019-10-01,Parthiv Gohil,Jhanjhar Vali Tara,2260
62,2019-10-01,Lalitya Munshaw,Ghor Andhari Re,97808
61,2019-10-01,Lalitya Munshaw,Ha Ha Re Ghaduliyo,73404
60,2019-10-01,Lalitya Munshaw,Jino Jino Ude Re Gulal,100075
59,2019-10-01,Parthiv Gohil,Jhanjhar Vali Tara,72071
58,2019-10-01,Lalitya Munshaw,Lembuda Na Lila Pila Pan,70347
56,2019-10-01,Lalitya Munshaw,Maro Sonano,111490
47,2019-10-01,Shailendra Bharti,Dholida Dholida - DJ Remix,76450
54,2019-10-01,Bharat Joshi,Odhni Odhun To,65870
53,2019-10-01,Rajdeep Barot,Pari Hun Main,38420
52,2019-10-01,Vidya Vox,Minnale,45780
51,2019-10-01,Shreya Ghoshal,Nagada Sang Dhol,273256
50,2019-10-01,Kishore Manraja,Sonal Garbo Shire - DJ Remix,202400
49,2019-10-01,Kishore Manraja,Madi Tare Mandiriye Re Ghughra Ghmke Chhe - DJ Remix,406139
48,2019-10-01,Kishore Manraja,Pankhida Tu Udi Jaje - DJ Remix,9250
55,2019-10-01,Parthiv Gohil,Jhamkudi Re Jhamkudi,75493
109,2019-10-02,Kishore Manraja,Natvar Nano Re - DJ Remix,2349
108,2019-10-02,Kishore Manraja,Natvar Nano Re - DJ Remix,0
107,2019-10-02,Kishore Manraja,He Rude Garbe Rame Chhe - DJ Remix,0
106,2019-10-02,Shailendra Bharti,Pankhida Pankhida Pankhida Tu Udi Jage Paava Ghad Re - DJ Remix,762
105,2019-10-02,Shailendra Bharti,Pankhida Pankhida Pankhida Tu Udi Jage Paava Ghad Re - DJ Remix,330
101,2019-10-02,Rupal Doshi,Chalo Pela - DJ Remix,14
103,2019-10-02,Kishore Manraja,Charar Charar Maru Chakdol Chale - DJ Remix,266
102,2019-10-02,Rupal Doshi,Chalo Pela - DJ Remix,1080
110,2019-10-02,Kishore Manraja,Tara Vina Shyam Mane - DJ Remix,8898
100,2019-10-02,Kishore Manraja,Jhanjarwali Tara Bhajan No - DJ Remix,0
99,2019-10-02,Rupal Doshi,Mathe Matukadi - DJ Remix,0
98,2019-10-02,Rupal Doshi,Dholida Dhol Re Vagad - DJ Remix,308
104,2019-10-02,Kishore Manraja,Charar Charar Maru Chakdol Chale - DJ Remix,10342
111,2019-10-02,Kishore Manraja,Tara Vina Shyam Mane - DJ Remix,1223
115,2019-10-02,Kishore Manraja,Kesariyo Rang Tane - DJ Remix,114638
113,2019-10-02,Kishore Manraja,Kesariyo Rang Tane - DJ Remix,198424
114,2019-10-02,Kishore Manraja,Kesariyo Rang Tane - DJ Remix,112769
116,2019-10-02,Kishore Manraja,Madi Ni Murti Lavo Ke - DJ Remix,375775
117,2019-10-02,Kishore Manraja,Madi Tare Mandiriye Re Ghughra Ghmke Chhe - DJ Remix,406139
118,2019-10-02,Kishore Manraja,Pankhida Tu Udi Jaje - DJ Remix,95701
119,2019-10-02,Kishore Manraja,Rame Ambe Maa Chachar Na - DJ Remix,1355
120,2019-10-02,Kishore Manraja,Rangtali Rangtali - DJ Remix,1540
121,2019-10-02,Kishore Manraja,Sonal Garbo Shire - DJ Remix,106005
122,2019-10-02,Kishore Manraja,Sonal Garbo Shire - DJ Remix,283683
123,2019-10-02,Kishore Manraja,Sonal Garbo Shire - DJ Remix,53511
124,2019-10-02,Kishore Manraja,Chalo Pela Bamboo Beats - DJ Remix,601767
125,2019-10-02,Kishore Manraja,Krishna Bhagwan Chalya - DJ Remix,539472
126,2019-10-02,Kishore Manraja,Sona Vatakadi Re - DJ Remix,60625
97,2019-10-02,Vatsala Patil,Mari Mahisagar Ni Aare - DJ Remix,305
112,2019-10-02,Rupal Doshi,He Mari Mahisagarni - DJ Remix,620
96,2019-10-02,Rupal Doshi,Nahi Melu Re - DJ Remix,1940
73,2019-10-02,The Local Train,Aakhri Salaam,140544
94,2019-10-02,Rupal Doshi,Chalo Pela - DJ Remix,323860
64,2019-10-02,The Local Train,Manzil,176802
65,2019-10-02,The Local Train,Aaftaab,233471
66,2019-10-02,The Local Train,Mere Yaar,286720
67,2019-10-02,The Local Train,Mizaaj,221832
68,2019-10-02,The Local Train,Khudi,191018
95,2019-10-02,Kishore Manraja,Charar Charar Maru Chakdol Chale - DJ Remix,15654
70,2019-10-02,The Local Train,Mere Yaar,282590
71,2019-10-02,The Local Train,Mizaaj,263509
72,2019-10-02,The Local Train,Aakhri Salaam,136888
74,2019-10-02,The Local Train,Vaaqif,212200
75,2019-10-02,Hailee Steinfeld,"Flashlight (Sweet Life Mix) - From ""Pitch Perfect 2"" Soundtrack",6057
76,2019-10-02,Hailee Steinfeld,Starving,181880
